9, 9, 2, (7, 5), (6, 0)
9, 9, 2, (8, 8), (4, 2)
9, 9, 2, (0, 0), (6, 4)
9, 9, 2, (8, 8), (5, 3)
9, 9, 2, (4, 6), (6, 2)
9, 9, 2, (8, 8), (1, 3)
9, 9, 2, (8, 0), (3, 3)
9, 9, 2, (8, 2), (0, 8)
9, 9, 2, (4, 0), (4, 8)
9, 9, 2, (8, 0), (3, 7)
9, 9, 2, (8, 0), (2, 6)
9, 9, 2, (8, 2), (2, 4)
9, 9, 2, (8, 2), (8, 0)
9, 9, 2, (7, 7), (5, 3)
9, 9, 2, (8, 2), (0, 6)
9, 9, 2, (7, 1), (6, 0)
9, 9, 2, (8, 0), (8, 2)
9, 9, 2, (8, 0), (7, 5)
9, 9, 2, (7, 5), (0, 2)
9, 9, 2, (8, 0), (7, 7)
9, 9, 2, (8, 0), (5, 3)
9, 9, 2, (5, 7), (2, 4)
9, 9, 2, (7, 5), (2, 2)
9, 9, 2, (8, 8), (4, 4)
9, 9, 2, (8, 2), (4, 6)
9, 9, 2, (2, 0), (6, 6)
9, 9, 2, (4, 4), (6, 4)
9, 9, 2, (8, 0), (1, 5)
9, 9, 2, (7, 1), (5, 7)
9, 9, 2, (8, 8), (3, 5)
9, 9, 2, (0, 0), (4, 4)
9, 9, 2, (8, 0), (5, 7)
9, 9, 2, (0, 6), (6, 6)
9, 9, 2, (8, 0), (5, 5)
9, 9, 2, (2, 0), (5, 3)
9, 9, 2, (7, 3), (2, 0)
9, 9, 2, (7, 1), (8, 4)
9, 9, 2, (8, 2), (0, 6)
9, 9, 2, (6, 6), (2, 4)
9, 9, 2, (8, 0), (0, 6)
9, 9, 2, (0, 0), (7, 7)
9, 9, 2, (2, 0), (3, 5)
9, 9, 2, (8, 0), (0, 4)
9, 9, 2, (4, 6), (6, 6)
9, 9, 2, (8, 0), (3, 5)
9, 9, 2, (1, 7), (5, 7)
9, 9, 2, (8, 6), (8, 4)
9, 9, 2, (8, 2), (2, 6)
9, 9, 2, (7, 7), (1, 3)
9, 9, 2, (7, 1), (7, 5)
9, 9, 2, (8, 0), (4, 8)
9, 9, 2, (7, 1), (5, 3)
9, 9, 2, (0, 0), (6, 4)
9, 9, 2, (8, 0), (8, 6)
9, 9, 2, (7, 1), (5, 3)
9, 9, 2, (6, 8), (5, 3)
9, 9, 2, (7, 5), (5, 7)
9, 9, 2, (8, 2), (1, 7)
9, 9, 2, (5, 7), (6, 4)
9, 9, 2, (2, 6), (6, 2)
9, 9, 2, (8, 2), (1, 5)
9, 9, 2, (6, 6), (2, 2)
9, 9, 2, (8, 0), (6, 6)
9, 9, 2, (8, 0), (2, 4)
9, 9, 2, (8, 8), (4, 2)
9, 9, 2, (3, 1), (2, 8)
9, 9, 2, (7, 5), (3, 3)
9, 9, 2, (8, 8), (2, 2)
9, 9, 2, (8, 6), (2, 0)
9, 9, 2, (8, 0), (3, 5)
9, 9, 2, (8, 8), (3, 5)
9, 9, 2, (8, 8), (4, 2)
9, 9, 2, (7, 3), (1, 3)
9, 9, 2, (8, 0), (6, 6)
9, 9, 2, (7, 7), (2, 2)
9, 9, 2, (4, 6), (5, 5)
9, 9, 2, (5, 7), (8, 2)
9, 9, 2, (2, 0), (4, 8)
9, 9, 2, (8, 0), (8, 2)
9, 9, 2, (8, 6), (6, 0)
9, 9, 2, (0, 0), (5, 5)
9, 9, 2, (8, 0), (1, 7)
9, 9, 2, (8, 0), (7, 7)
9, 9, 2, (8, 2), (4, 6)
9, 9, 2, (3, 1), (4, 2)
9, 9, 2, (8, 2), (1, 5)
9, 9, 2, (0, 0), (3, 5)
9, 9, 2, (7, 7), (5, 3)
9, 9, 2, (5, 5), (1, 1)
9, 9, 2, (8, 8), (3, 1)
9, 9, 2, (8, 0), (2, 4)
9, 9, 2, (3, 5), (5, 3)
9, 9, 2, (8, 8), (1, 7)
9, 9, 2, (4, 6), (3, 1)
9, 9, 2, (8, 0), (2, 4)
9, 9, 2, (0, 6), (5, 1)
9, 9, 2, (8, 8), (1, 3)
9, 9, 2, (8, 8), (1, 5)
9, 9, 2, (3, 7), (1, 1)
9, 9, 2, (8, 8), (4, 4)
9, 9, 2, (8, 8), (0, 0)
9, 9, 2, (8, 8), (2, 0)
9, 9, 2, (8, 0), (4, 2)
9, 9, 2, (7, 7), (7, 5)
9, 9, 2, (8, 8), (8, 0)
9, 9, 2, (8, 8), (5, 5)
9, 9, 2, (8, 0), (4, 4)
9, 9, 2, (8, 2), (0, 0)
9, 9, 2, (6, 4), (2, 0)
9, 9, 2, (7, 1), (8, 2)
9, 9, 2, (2, 0), (8, 6)
9, 9, 2, (8, 8), (4, 6)
9, 9, 2, (8, 2), (1, 1)
9, 9, 2, (7, 1), (1, 5)
9, 9, 2, (0, 6), (8, 6)
9, 9, 2, (8, 2), (6, 6)
9, 9, 2, (0, 0), (6, 0)
9, 9, 2, (8, 8), (1, 1)
9, 9, 2, (4, 0), (4, 8)
9, 9, 2, (8, 2), (4, 0)
9, 9, 2, (8, 0), (2, 4)
9, 9, 2, (8, 0), (2, 4)
9, 9, 2, (7, 1), (4, 2)
9, 9, 2, (2, 0), (4, 8)
9, 9, 2, (5, 1), (6, 6)
9, 9, 2, (8, 8), (2, 0)
9, 9, 2, (8, 2), (5, 3)
9, 9, 2, (7, 5), (1, 5)
9, 9, 2, (7, 1), (5, 5)
9, 9, 2, (3, 1), (6, 6)
9, 9, 2, (8, 2), (4, 6)
9, 9, 2, (8, 2), (5, 5)
9, 9, 2, (7, 1), (5, 5)
9, 9, 2, (8, 0), (4, 6)
